,gene,mip_case,mip_case_lof,mip_case_mis30,exac_lof,exac_mis30,Fisher_LGDp,Fisher_MIS30p,Fisher_LGDq,Fisher_MIS30q
103,MSL3,16294,2,1,1,1,0.172532139747908,0.458620268141805,0.317154668654243,0.644129590086805
104,PACS2,16294,2,9,4,21,0.49945500761172,0.394352317556003,0.664168893100691,0.605407550182845
105,PHF12,16294,6,8,2,17,0.00570669134959215,0.331807227984674,0.0216162551120915,0.553012046641123
106,QRICH1,16294,1,4,0,5,0.264212745257013,0.1932517068565,0.407735717989218,0.423797602755483
107,RANBP2,16294,2,7,7,10,0.732537708505066,0.135662925623035,0.85451062413828,0.352419495481181
108,SATB2,16294,5,4,1,7,0.00602209355436235,0.326487230152763,0.0221400498322145,0.55149869958237
109,SCN8A,16294,4,10,5,19,0.1932517068565,0.215538271313347,0.339823418359656,0.461310891785821
110,SF3B1,16294,1,2,2,4,0.601664332338754,0.49945500761172,0.730175160605284,0.693687510571833
111,SMARCD1,16294,1,1,1,8,0.458620268141805,0.936805497304664,0.623125364323105,1
112,SPEN,16294,9,31,6,57,0.00624887800316102,0.042610358863838,0.0223174214398608,0.192633885049733
113,TAB2,16294,1,0,0,2,0.264212745257013,1,0.407735717989218,1
114,TAF1,16294,2,8,3,6,0.397147352919946,0.0145711774961753,0.55779122601116,0.11383732418887
115,TCF12,16294,9,12,8,18,0.0178923793762451,0.0733753749756639,0.0486205961311008,0.260062712037516
116,TNPO2,16294,2,0,1,4,0.172532139747908,1,0.317154668654243,1
117,TRAF7,16294,2,4,12,4,0.917865861461688,0.134399565386348,1,0.352419495481181
118,U2AF2,16294,0,1,1,1,1,0.458620268141805,1,0.644129590086805
119,UBTF,16294,1,0,0,8,0.264212745257013,1,0.407735717989218,1
120,UPF3B,16294,3,3,1,4,0.0591513880673873,0.273622938235332,0.134434972880426,0.489576868884295
121,USP9X,16294,1,5,0,10,0.264212745257013,0.361220176808686,0.407735717989218,0.586396390923192
122,VEZF1,16294,1,0,1,3,0.458620268141805,1,0.623125364323105,1
123,WDR26,16294,1,5,0,4,0.264212745257013,0.0608343885486584,0.407735717989218,0.237634330268197
124,YTHDF3,16294,3,0,7,0,0.51663883674419,1,0.672706818677331,1
125,ZBTB18,16294,8,3,0,2,2.37181538767526e-05,0.119061199191152,0.000329418803843786,0.330725553308756
